,GeneID,Function,OrganismID
120,OLHCEBFO_00968,extA,Desulfofervidaceae_sp._PB11946FWG155
121,OLHCEBFO_00969,extA,Desulfofervidaceae_sp._PB11946FWG155
122,OLHCEBFO_00970,extA,Desulfofervidaceae_sp._PB11946FWG155
123,OLHCEBFO_00971,,Desulfofervidaceae_sp._PB11946FWG155
124,OLHCEBFO_00972,,Desulfofervidaceae_sp._PB11946FWG155
125,OLHCEBFO_00973,,Desulfofervidaceae_sp._PB11946FWG155
126,OLHCEBFO_00974,,Desulfofervidaceae_sp._PB11946FWG155
127,OLHCEBFO_00975,,Desulfofervidaceae_sp._PB11946FWG155
128,OLHCEBFO_00976,,Desulfofervidaceae_sp._PB11946FWG155
129,OLHCEBFO_00977,,Desulfofervidaceae_sp._PB11946FWG155
130,GLOGJPLJ_00711,omcX,Desulfofervidaceae sp. PB_NA091.008_B6
131,GLOGJPLJ_00710,extA,Desulfofervidaceae sp. PB_NA091.008_B6
132,GLOGJPLJ_00709,,Desulfofervidaceae sp. PB_NA091.008_B6
133,GLOGJPLJ_00708,,Desulfofervidaceae sp. PB_NA091.008_B6
134,GLOGJPLJ_00707,,Desulfofervidaceae sp. PB_NA091.008_B6
135,GLOGJPLJ_00706,,Desulfofervidaceae sp. PB_NA091.008_B6
136,GLOGJPLJ_00705,,Desulfofervidaceae sp. PB_NA091.008_B6
137,GLOGJPLJ_00704,omb,Desulfofervidaceae sp. PB_NA091.008_B6
138,GLOGJPLJ_00703,,Desulfofervidaceae sp. PB_NA091.008_B6
139,GLOGJPLJ_00702,,Desulfofervidaceae sp. PB_NA091.008_B6
140,GLOGJPLJ_00701,,Desulfofervidaceae sp. PB_NA091.008_B6
141,GLOGJPLJ_00700,,Desulfofervidaceae sp. PB_NA091.008_B6
142,GLOGJPLJ_00699,hmlB,Desulfofervidaceae sp. PB_NA091.008_B6
143,GLOGJPLJ_00698,hmlA,Desulfofervidaceae sp. PB_NA091.008_B6
144,AMM40346.1,,HotSeep1_sp001577525
145,AMM40347.1,,HotSeep1_sp001577525
146,AMM40348.1,,HotSeep1_sp001577525
147,HS1_000542,,HotSeep1_sp001577525
148,AMM40349.1,omcX,HotSeep1_sp001577525
149,AMM40350.1,extA,HotSeep1_sp001577525
150,AMM40351.1,extA,HotSeep1_sp001577525
151,CXXCH,extA,HotSeep1_sp001577525
152,AMM40352.1,extA,HotSeep1_sp001577525
153,DNA,,HotSeep1_sp001577525
154,AMM40353.1,,HotSeep1_sp001577525
155,DUF86,,HotSeep1_sp001577525
156,AMM40354.1,,HotSeep1_sp001577525
157,AMM40355.1,,HotSeep1_sp001577525
158,YVTN,,HotSeep1_sp001577525
159,AMM40356.1,,HotSeep1_sp001577525
160,HS1_000550,omb,HotSeep1_sp001577525
161,AMM40357.1,,HotSeep1_sp001577525
162,AMM40358.1,,HotSeep1_sp001577525
163,AMM40359.1,hmlB,HotSeep1_sp001577525
164,AMM40360.1,hmlA,HotSeep1_sp001577525
165,AMM40361.1,,HotSeep1_sp001577525
166,AMM40362.1,,HotSeep1_sp001577525
167,BEFNOMPG_00388,omb,Candidatus Desulfofervidus auxilli_sp._PB12019FWG170
168,BEFNOMPG_00389,,Candidatus Desulfofervidus auxilli_sp._PB12019FWG170
169,BEFNOMPG_00390,,Candidatus Desulfofervidus auxilli_sp._PB12019FWG170
170,BEFNOMPG_00391,,Candidatus Desulfofervidus auxilli_sp._PB12019FWG170
171,BEFNOMPG_00392,,Candidatus Desulfofervidus auxilli_sp._PB12019FWG170
172,BEFNOMPG_00393,hmlB,Candidatus Desulfofervidus auxilli_sp._PB12019FWG170
173,BEFNOMPG_00394,hmlA,Candidatus Desulfofervidus auxilli_sp._PB12019FWG170
174,IEOPGEAI_00593,,Candidatus Desulfofervidus auxilli_sp._B50
175,IEOPGEAI_00594,,Candidatus Desulfofervidus auxilli_sp._B50
176,IEOPGEAI_00595,,Candidatus Desulfofervidus auxilli_sp._B50
177,IEOPGEAI_00596,omcX,Candidatus Desulfofervidus auxilli_sp._B50
178,IEOPGEAI_00597,extA,Candidatus Desulfofervidus auxilli_sp._B50
179,IEOPGEAI_00598,,Candidatus Desulfofervidus auxilli_sp._B50
180,IEOPGEAI_00599,,Candidatus Desulfofervidus auxilli_sp._B50
181,IEOPGEAI_00600,,Candidatus Desulfofervidus auxilli_sp._B50
182,IEOPGEAI_00601,,Candidatus Desulfofervidus auxilli_sp._B50
183,IEOPGEAI_00602,,Candidatus Desulfofervidus auxilli_sp._B50
184,IEOPGEAI_00603,omb,Candidatus Desulfofervidus auxilli_sp._B50
185,IEOPGEAI_00604,,Candidatus Desulfofervidus auxilli_sp._B50
186,IEOPGEAI_00605,,Candidatus Desulfofervidus auxilli_sp._B50
187,IEOPGEAI_00606,,Candidatus Desulfofervidus auxilli_sp._B50
188,IEOPGEAI_00607,,Candidatus Desulfofervidus auxilli_sp._B50
189,IEOPGEAI_00608,hmlB,Candidatus Desulfofervidus auxilli_sp._B50
190,IEOPGEAI_00609,hmlA,Candidatus Desulfofervidus auxilli_sp._B50
191,CAD7772949.1,,HotSeep1_E37_DN
192,DMNBHIDG_00680,,HotSeep1_E37_DN
193,CAD7772956.1,,HotSeep1_E37_DN
194,DMNBHIDG_00681,,HotSeep1_E37_DN
195,CAD7772963.1,omcX,HotSeep1_E37_DN
196,CAD7772970.1,omcX,HotSeep1_E37_DN
197,CAD7772977.1,omcX,HotSeep1_E37_DN
198,DMNBHIDG_00684,omcX,HotSeep1_E37_DN
199,CAD7772982.1,omcX,HotSeep1_E37_DN
200,DMNBHIDG_00685,omcX,HotSeep1_E37_DN
201,CAD7772989.1,extA,HotSeep1_E37_DN
202,DMNBHIDG_00686,extA,HotSeep1_E37_DN
203,CAD7772996.1,extA,HotSeep1_E37_DN
204,DMNBHIDG_00687,,HotSeep1_E37_DN
205,CAD7773003.1,,HotSeep1_E37_DN
206,DMNBHIDG_00688,,HotSeep1_E37_DN
207,CAD7773014.1,,HotSeep1_E37_DN
208,CAD7773017.1,,HotSeep1_E37_DN
209,DMNBHIDG_00690,,HotSeep1_E37_DN
210,CAD7773024.1,omb,HotSeep1_E37_DN
211,DMNBHIDG_00691,,HotSeep1_E37_DN
212,CAD7773031.1,,HotSeep1_E37_DN
213,CAD7773042.1,,HotSeep1_E37_DN
214,DMNBHIDG_00693,,HotSeep1_E37_DN
215,CAD7773046.1,hmlB,HotSeep1_E37_DN
216,DMNBHIDG_00694,hmlA,HotSeep1_E37_DN
217,CAD7773054.1,,HotSeep1_E37_DN
218,CAD7773063.1,,HotSeep1_E37_DN
219,CAD7771679.1,,HotSeep1_E50_DN
220,BLFGPEAP_00628,,HotSeep1_E50_DN
221,CAD7771684.1,omcX,HotSeep1_E50_DN
222,CAD7771689.1,extA,HotSeep1_E50_DN
223,CAD7771694.1,extA,HotSeep1_E50_DN
224,BLFGPEAP_00631,extA,HotSeep1_E50_DN
225,CAD7771699.1,extA,HotSeep1_E50_DN
226,BLFGPEAP_00632,extA,HotSeep1_E50_DN
227,CAD7771704.1,extA,HotSeep1_E50_DN
228,BLFGPEAP_00633,extA,HotSeep1_E50_DN
229,CAD7771710.1,extA,HotSeep1_E50_DN
230,BLFGPEAP_00634,extA,HotSeep1_E50_DN
231,CAD7771715.1,,HotSeep1_E50_DN
232,BLFGPEAP_00635,,HotSeep1_E50_DN
233,CAD7771720.1,,HotSeep1_E50_DN
234,BLFGPEAP_00636,,HotSeep1_E50_DN
235,CAD7771725.1,,HotSeep1_E50_DN
236,BLFGPEAP_00637,,HotSeep1_E50_DN
237,CAD7771730.1,,HotSeep1_E50_DN
238,BLFGPEAP_00638,,HotSeep1_E50_DN
239,CAD7771735.1,,HotSeep1_E50_DN
240,CAD7771741.1,,HotSeep1_E50_DN
241,BLFGPEAP_00640,,HotSeep1_E50_DN
242,CAD7771745.1,,HotSeep1_E50_DN
243,BLFGPEAP_00641,,HotSeep1_E50_DN
244,CAD7771750.1,,HotSeep1_E50_DN
245,BLFGPEAP_00642,,HotSeep1_E50_DN
246,CAD7771753.1,,HotSeep1_E50_DN
247,CAD7771756.1,omb,HotSeep1_E50_DN
248,CXXCH,,HotSeep1_E50_DN
249,(Paired_CXXCH_1),,HotSeep1_E50_DN
250,CAD7771761.1,,HotSeep1_E50_DN
251,CXXCH,,HotSeep1_E50_DN
252,(Paired_CXXCH_1),,HotSeep1_E50_DN
253,CAD7771766.1,,HotSeep1_E50_DN
254,CXXCH,hmlB,HotSeep1_E50_DN
255,(Paired_CXXCH_1),hmlA,HotSeep1_E50_DN
256,,,Seep-SRB2_sp002367355
257,,omcX,Seep-SRB2_sp002367355
258,DFBQ01000012.1_21,extA,Seep-SRB2_sp002367355
259,DFBQ01000012.1_22,,Seep-SRB2_sp002367355
260,DFBQ01000012.1_23,,Seep-SRB2_sp002367355
261,DFBQ01000012.1_24,,Seep-SRB2_sp002367355
262,DFBQ01000012.1_25,,Seep-SRB2_sp002367355
263,DFBQ01000012.1_26,,Seep-SRB2_sp002367355
264,DFBQ01000012.1_27,,Seep-SRB2_sp002367355
265,,,Seep-SRB2_sp002367355
266,,omb,Seep-SRB2_sp002367355
267,,,Seep-SRB2_sp002367355
268,,,Seep-SRB2_sp002367355
269,,,Seep-SRB2_sp002367355
270,,,Seep-SRB2_sp002367355
271,,,Seep-SRB2_sp002367355
272,,,Seep-SRB2_sp002367355
273,,,Seep-SRB2_E20_sp003194495
274,,,Seep-SRB2_E20_sp003194495
275,PXF57838.1,omcX,Seep-SRB2_E20_sp003194495
276,PXF57837.1,extA,Seep-SRB2_E20_sp003194495
277,PXF57836.1,,Seep-SRB2_E20_sp003194495
278,PXF57835.1,omb,Seep-SRB2_E20_sp003194495
279,PXF57834.1,,Seep-SRB2_E20_sp003194495
280,PXF57833.1,,Seep-SRB2_E20_sp003194495
281,PXF57832.1,,Seep-SRB2_E20_sp003194495
282,PXF57831.1,,Seep-SRB2_E20_sp003194495
283,PXF57830.1,hmlB,Seep-SRB2_E20_sp003194495
284,PXF57829.1,hmlA,Seep-SRB2_E20_sp003194495
285,,,Seep-SRB2_E20_sp003194495
286,,,Seep-SRB2_E20_sp003194495
287,,,Seep-SRB2_E20_sp003194495
288,,,Seep-SRB2_E20_sp003194495
289,,,Seep-SRB2_E20_sp003194495
290,,,Seep-SRB2_G37_sp003194485
291,,,Seep-SRB2_G37_sp003194485
292,PXF54100.1,extA,Seep-SRB2_G37_sp003194485
293,PXF54099.1,,Seep-SRB2_G37_sp003194485
294,PXF54098.1,,Seep-SRB2_G37_sp003194485
295,PXF54097.1,,Seep-SRB2_G37_sp003194485
296,PXF54096.1,omb,Seep-SRB2_G37_sp003194485
297,PXF54095.1,,Seep-SRB2_G37_sp003194485
298,PXF54094.1,,Seep-SRB2_G37_sp003194485
299,PXF54093.1,,Seep-SRB2_G37_sp003194485
300,PXF54092.1,,Seep-SRB2_G37_sp003194485
301,PXF54091.1,,Seep-SRB2_G37_sp003194485
302,PXF54090.1,,Seep-SRB2_G37_sp003194485
303,PXF54089.1,,Seep-SRB2_G37_sp003194485
304,PXF54088.1,hmlB,Seep-SRB2_G37_sp003194485
305,PXF54087.1,hmlA,Seep-SRB2_G37_sp003194485
306,,,Seep-SRB2_G37_sp003194485
307,,,Dissulfurirhabdus_thermomarina_ASM1049943v1
308,,,Dissulfurirhabdus_thermomarina_ASM1049943v1
309,WP_163297694.1,omcX,Dissulfurirhabdus_thermomarina_ASM1049943v1
310,WP_163297693.1,extA,Dissulfurirhabdus_thermomarina_ASM1049943v1
311,WP_163297692.1,,Dissulfurirhabdus_thermomarina_ASM1049943v1
312,WP_163297691.1,,Dissulfurirhabdus_thermomarina_ASM1049943v1
313,WP_163297690.1,,Dissulfurirhabdus_thermomarina_ASM1049943v1
314,WP_163297689.1,omb,Dissulfurirhabdus_thermomarina_ASM1049943v1
315,WP_163297688.1,,Dissulfurirhabdus_thermomarina_ASM1049943v1
316,WP_163297687.1,,Dissulfurirhabdus_thermomarina_ASM1049943v1
317,WP_163297686.1,,Dissulfurirhabdus_thermomarina_ASM1049943v1
318,WP_163297685.1,,Dissulfurirhabdus_thermomarina_ASM1049943v1
319,WP_163297684.1,hmlB,Dissulfurirhabdus_thermomarina_ASM1049943v1
320,WP_163297683.1,hmlA,Dissulfurirhabdus_thermomarina_ASM1049943v1
321,,,Dissulfurirhabdus_thermomarina_ASM1049943v1
322,,,Dissulfurirhabdus_thermomarina_ASM1049943v1
323,,,Dissulfurirhabdus_thermomarina_ASM1049943v1
324,,,Seep-SRB2_G37_sp003194485
325,,,Seep-SRB2_G37_sp003194485
326,PXF54100.1,omcX1,Seep-SRB2_G37_sp003194485
327,PXF54099.1,,Seep-SRB2_G37_sp003194485
328,PXF54098.1,,Seep-SRB2_G37_sp003194485
329,PXF54097.1,,Seep-SRB2_G37_sp003194485
330,PXF54096.1,omb,Seep-SRB2_G37_sp003194485
331,PXF54095.1,,Seep-SRB2_G37_sp003194485
332,PXF54094.1,,Seep-SRB2_G37_sp003194485
333,PXF54093.1,,Seep-SRB2_G37_sp003194485
334,PXF54092.1,,Seep-SRB2_G37_sp003194485
335,PXF54091.1,,Seep-SRB2_G37_sp003194485
336,PXF54090.1,,Seep-SRB2_G37_sp003194485
337,PXF54089.1,,Seep-SRB2_G37_sp003194485
338,PXF54088.1,hmlB,Seep-SRB2_G37_sp003194485
339,PXF54087.1,hmlA,Seep-SRB2_G37_sp003194485
340,,,Seep-SRB2_G37_sp003194485
341,MBW1966869.1,omcX,Seep-SRB2 sp. Meg22_1214_Bin_80
342,MBW1966868.1,omcX1,Seep-SRB2 sp. Meg22_1214_Bin_80
343,MBW1966867.1,omcX1,Seep-SRB2 sp. Meg22_1214_Bin_80
344,MBW1966866.1,,Seep-SRB2 sp. Meg22_1214_Bin_80
345,MBW1966865.1,,Seep-SRB2 sp. Meg22_1214_Bin_80
346,MBW1966864.1,,Seep-SRB2 sp. Meg22_1214_Bin_80
347,MBW1966863.1,omb,Seep-SRB2 sp. Meg22_1214_Bin_80
348,MBW1966862.1,,Seep-SRB2 sp. Meg22_1214_Bin_80
349,MBW1966861.1,,Seep-SRB2 sp. Meg22_1214_Bin_80
350,,,Seep-SRB2 sp. Meg22_1214_Bin_80
351,,,Seep-SRB2 sp. Meg22_1214_Bin_80
352,,,Seep-SRB2 sp. Meg22_1214_Bin_80
353,,,Seep-SRB2 sp. Meg22_1214_Bin_80
354,,,Seep-SRB2 sp. Meg22_1214_Bin_80
355,,,Seep-SRB2 sp. Meg22_1214_Bin_80
356,,,Seep-SRB2 sp. Meg22_1214_Bin_80
357,,,Seep-SRB2 sp. Meg22_1214_Bin_80
358,MBW1718522.1 ,omcX,Seep-SRB2 sp. Meg22_810_Bin_10
359,MBW1718521.1 ,omcX1,Seep-SRB2 sp. Meg22_810_Bin_10
360,MBW1718520.1 ,omcX1,Seep-SRB2 sp. Meg22_810_Bin_10
361,MBW1718519.1 ,,Seep-SRB2 sp. Meg22_810_Bin_10
362,MBW1718518.1 ,,Seep-SRB2 sp. Meg22_810_Bin_10
363,MBW1718517.1 ,,Seep-SRB2 sp. Meg22_810_Bin_10
364,MBW1718516.1 ,omb,Seep-SRB2 sp. Meg22_810_Bin_10
365,MBW1718515.1 ,,Seep-SRB2 sp. Meg22_810_Bin_10
366,MBW1718514.1 ,,Seep-SRB2 sp. Meg22_810_Bin_10
367,MBW1718513.1 ,,Seep-SRB2 sp. Meg22_810_Bin_10
368,MBW1718512.1 ,,Seep-SRB2 sp. Meg22_810_Bin_10
369,MBW1718511.1 ,hmlB,Seep-SRB2 sp. Meg22_810_Bin_10
370,MBW1718510.1 ,hmlA,Seep-SRB2 sp. Meg22_810_Bin_10
371,MBW1718509.1 ,,Seep-SRB2 sp. Meg22_810_Bin_10
372,MBW1718508.1 ,,Seep-SRB2 sp. Meg22_810_Bin_10
373,MBW1718507.1 ,,Seep-SRB2 sp. Meg22_810_Bin_10
374,MBW1718506.1 ,,Seep-SRB2 sp. Meg22_810_Bin_10
375,RLB82937.1,,B60-G16 sp003647275
376,DRH17_04060,,B60-G16 sp003647275
377,RLB82938.1,,B60-G16 sp003647275
378,DRH17_04065,,B60-G16 sp003647275
379,RLB82939.1,,B60-G16 sp003647275
380,DRH17_04070,,B60-G16 sp003647275
381,RLB82940.1,,B60-G16 sp003647275
382,DRH17_04075,,B60-G16 sp003647275
383,RLB82941.1,,B60-G16 sp003647275
384,DRH17_04080,,B60-G16 sp003647275
385,RLB82942.1,,B60-G16 sp003647275
386,DRH17_04085,,B60-G16 sp003647275
387,RLB82943.1,,B60-G16 sp003647275
388,DRH17_04090,,B60-G16 sp003647275
389,RLB82944.1,,B60-G16 sp003647275
390,DRH17_04095,,B60-G16 sp003647275
391,RLB82945.1,hmlB,B60-G16 sp003647275
392,DRH17_04100,,B60-G16 sp003647275
393,RLB82946.1,,B60-G16 sp003647275
394,DRH17_04105,cyt c,B60-G16 sp003647275
395,RLB82947.1,,B60-G16 sp003647275
396,DRH17_04110,,B60-G16 sp003647275
397,RLB82948.1,,B60-G16 sp003647275
398,DRH17_04115,omb,B60-G16 sp003647275
399,RLB82949.1,b-propeller,B60-G16 sp003647275
400,DRH17_04120,NHL domain containing protein,B60-G16 sp003647275
401,RLB82950.1,,B60-G16 sp003647275
402,NVL90211.1,ccmC,JABXJX01 sp013375375_DIET_cluster.txt
403,NVL90212.1,,JABXJX01 sp013375375_DIET_cluster.txt
404,NVL90213.1,,JABXJX01 sp013375375_DIET_cluster.txt
405,NVL90214.1,,JABXJX01 sp013375375_DIET_cluster.txt
406,NVL90215.1,ccmB,JABXJX01 sp013375375_DIET_cluster.txt
407,NVL90216.1,ccmA,JABXJX01 sp013375375_DIET_cluster.txt
408,NVL90217.1,NHL repeat protein,JABXJX01 sp013375375_DIET_cluster.txt
409,NVL90218.1,b-propeller,JABXJX01 sp013375375_DIET_cluster.txt
410,NVL90219.1,omb,JABXJX01 sp013375375_DIET_cluster.txt
411,NVL90220.1,,JABXJX01 sp013375375_DIET_cluster.txt
412,NVL90221.1,,JABXJX01 sp013375375_DIET_cluster.txt
413,NVL90222.1,,JABXJX01 sp013375375_DIET_cluster.txt
414,Ga0402030_bin2_2257,omcX,Seep-SRB1g_sp._CR10073B_DIET_cluster.txt
415,Ga0402030_bin2_2258,extA,Seep-SRB1g_sp._CR10073B_DIET_cluster.txt
416,Ga0402030_bin2_2259,,Seep-SRB1g_sp._CR10073B_DIET_cluster.txt
417,Ga0402030_bin2_2260,,Seep-SRB1g_sp._CR10073B_DIET_cluster.txt
418,Ga0402030_bin2_2261,omb,Seep-SRB1g_sp._CR10073B_DIET_cluster.txt
419,Ga0402030_bin2_2262,,Seep-SRB1g_sp._CR10073B_DIET_cluster.txt
420,Ga0402030_bin2_2263,,Seep-SRB1g_sp._CR10073B_DIET_cluster.txt
421,Ga0402030_bin2_2264,omc,Seep-SRB1g_sp._CR10073B_DIET_cluster.txt
422,Ga0402030_bin2_2265,,Seep-SRB1g_sp._CR10073B_DIET_cluster.txt
423,Ga0402030_bin2_2266,,Seep-SRB1g_sp._CR10073B_DIET_cluster.txt
424,Ga0402030_bin2_2267,,Seep-SRB1g_sp._CR10073B_DIET_cluster.txt
425,Ga0402030_bin2_2268,hmlB,Seep-SRB1g_sp._CR10073B_DIET_cluster.txt
426,Ga0402030_bin2_2269,hmlA,Seep-SRB1g_sp._CR10073B_DIET_cluster.txt
427,OEU57524.1,omcX,Seep-SRB1g_sp001751015_a_DIET_cluster.txt
428,OEU57523.1,extA,Seep-SRB1g_sp001751015_a_DIET_cluster.txt
429,OEU57522.1,,Seep-SRB1g_sp001751015_a_DIET_cluster.txt
430,OEU57521.1,,Seep-SRB1g_sp001751015_a_DIET_cluster.txt
431,OEU57520.1,omb,Seep-SRB1g_sp001751015_a_DIET_cluster.txt
432,OEU57519.1,,Seep-SRB1g_sp001751015_a_DIET_cluster.txt
433,OEU57518.1,,Seep-SRB1g_sp001751015_a_DIET_cluster.txt
434,OEU57517.1,omc,Seep-SRB1g_sp001751015_a_DIET_cluster.txt
435,OEU57516.1,,Seep-SRB1g_sp001751015_a_DIET_cluster.txt
436,OEU57515.1,,Seep-SRB1g_sp001751015_a_DIET_cluster.txt
437,OEU57514.1,,Seep-SRB1g_sp001751015_a_DIET_cluster.txt
